phi,Spinx,Spiny
(-1.1956797127705925+0j),(0.7557639949952993+0j),(-0.6548440912681012+0j)
(-1.1870669496040316+0j),(0.7602020460478963+0j),(-0.6496867315749892+0j)
(-1.1785699645676952+0j),(0.7644772789651754+0j),(-0.644650672803497+0j)
(-1.170181547039368+0j),(0.768601175224334+0j),(-0.6397282496840145+0j)
(-1.1618951797132953+0j),(0.772584114849849+0j),(-0.6349124234740374+0j)
(-1.1537049523427771+0j),(0.7764355130152568+0j),(-0.6301967106616276+0j)
(-1.145605488735267+0j),(0.7801639358541649+0j),(-0.6255751219418326+0j)
(-1.1375918845971134+0j),(0.7837771992092287+0j),(-0.6210421096831815+0j)
(-1.1296596543229973+0j),(0.7872824532824251+0j),(-0.6165925224600167+0j)
(-1.1218046852076897+0j),(0.7906862555604475+0j),(-0.6122215655036981+0j)
(-1.1140231978544357+0j),(0.7939946339309362+0j),(-0.6079247661420604+0j)
(-1.1063117117861914+0j),(0.7972131415462633+0j),(-0.6036979434667121+0j)
(-1.0986670154487197+0j),(0.800346904708101+0j),(-0.5995371816027442+0j)
(-1.0910861399396234+0j),(0.8034006648204637+0j),(-0.5954388060632572+0j)
(-1.0835663359133645+0j),(0.8063788152782744+0j),(-0.5913993627578634+0j)
(-1.0761050532055991+0j),(0.8092854340128646+0j),(-0.5874155992945793+0j)
(-1.0686999227956755+0j),(0.8121243122977029+0j),(-0.5834844482717456+0j)
(-1.0613487407876159+0j),(0.8148989803212817+0j),(-0.5796030123035382+0j)
(-1.0540494541402297+0j),(0.8176127299550614+0j),(-0.5757685505612755+0j)
(-1.0468001479184108+0j),(0.8202686350792127+0j),(-0.5719784666447556+0j)
(-1.0395990338719172+0j),(0.8228695697749159+0j),(-0.5682302976245149+0j)
(-1.0324444401763777+0j),(0.8254182246470533+0j),(-0.5645217041181916+0j)
(-1.025334802195012+0j),(0.8279171215035555+0j),(-0.5608504612829226+0j)
(-1.0182686541394408+0j),(0.830368626586159+0j),(-0.5572144506214963+0j)
(-1.0112446215247115+0j),(0.832774962520728+0j),(-0.5536116525133842+0j)
(-1.0042614143277948+0j),(0.8351382191328304+0j),(-0.5500401393931578+0j)
(-0.9973178207708085+0j),(0.8374603632551533+0j),(-0.5464980695085269+0j)
(-0.9904127016604146+0j),(0.8397432476370782+0j),(-0.5429836811985542+0j)
(-0.9835449852235532+0j),(0.8419886190528255+0j),(-0.539495287639768+0j)
(-0.9767136623871275+0j),(0.8441981256926517+0j),(-0.5360312720140624+0j)
(-0.9699177824556677+0j),(0.8463733239113086+0j),(-0.5325900830576207+0j)
(-0.9631564491465214+0j),(0.84851568439913+0j),(-0.5291702309547242+0j)
(-0.9564288169468886+0j),(0.850626597833445+0j),(-0.5257702835443429+0j)
(-0.9497340877611589+0j),(0.8527073800613606+0j),(-0.5223888628109239+0j)
(-0.943071507820597+0j),(0.8547592768591856+0j),(-0.5190246416338652+0j)
(-0.9364403648305584+0j),(0.8567834683087132+0j),(-0.5156763407728654+0j)
(-0.9298399853331417+0j),(0.8587810728261805+0j),(-0.5123427260687073+0j)
(-0.9232697322655876+0j),(0.860753150875852+0j),(-0.5090226058411286+0j)
(-0.9167290026968263+0j),(0.8627007083967845+0j),(-0.5057148284672762+0j)
(-0.9102172257264214+0j),(0.8646246999683477+0j),(-0.5024182801258777+0j)
(-0.9037338605317884+0j),(0.8665260317374409+0j),(-0.4991318826937065+0j)
(-0.8972783945510016+0j),(0.868405564128013+0j),(-0.4958545917822158+0j)
(-0.8908503417897677+0j),(0.870264114351444+0j),(-0.4925853949033578+0j)
(-0.8844492412422811+0j),(0.8721024587345112+0j),(-0.4893233097546246+0j)
(-0.8780746554166673+0j),(0.8739213348800362+0j),(-0.48606738261427895+0j)
(-0.8717261689566141+0j),(0.8757214436738762+0j),(-0.48281668683853735+0j)
(-0.8654033873515887+0j),(0.8775034511506183+0j),(-0.4795703214532303+0j)
(-0.8591059357287354+0j),(0.8792679902291923+0j),(-0.4763274098331073+0j)
(-0.8528334577201948+0j),(0.8810156623285883+0j),(-0.4730870984625547+0j)
(-0.846585614400145+0j),(0.8827470388729345+0j),(-0.4698485557720338+0j)
(-0.8403620832863744+0j),(0.8844626626943726+0j),(-0.4666109710450248+0j)
(-0.8341625574016585+0j),(0.8861630493414118+0j),(-0.4633735533907075+0j)
(-0.8279867443906167+0j),(0.8878486882997849+0j),(-0.46013553077799985+0j)
(-0.8218343656881054+0j),(0.8895200441322137+0j),(-0.4568961491269373+0j)
(-0.8157051557355272+0j),(0.8911775575429577+0j),(-0.4536546714537043+0j)
(-0.8095988612417452+0j),(0.8928216463725173+0j),(-0.4504103770659241+0j)
